"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2025","116.08","113.98","117.23","113.24","79.71M","1.25%"
"04/28/2025","114.65","113.78","114.86","108.87","111.08M","1.66%"
"04/25/2025","112.78","108.05","112.88","106.55","103.93M","4.64%"
"04/24/2025","107.78","101.53","108.00","100.91","103.19M","6.90%"
"04/23/2025","100.82","98.86","103.76","97.83","112.91M","7.27%"
"04/22/2025","93.99","93.01","96.34","91.35","91.19M","3.51%"
"04/21/2025","90.80","92.84","96.47","89.31","83.83M","-3.18%"
"04/17/2025","93.78","94.71","95.11","92.27","83.99M","1.15%"
"04/16/2025","92.71","96.28","97.30","89.62","122.00M","-5.78%"
"04/15/2025","98.40","93.53","98.99","93.05","118.46M","6.24%"
"04/14/2025","92.62","95.80","97.33","91.46","122.84M","4.60%"
"04/11/2025","88.55","87.98","89.55","85.47","95.13M","-0.05%"
"04/10/2025","88.59","88.40","90.78","84.14","124.45M","-3.72%"
"04/09/2025","92.01","78.19","93.33","77.27","187.24M","19.00%"
"04/08/2025","77.32","83.29","86.11","75.22","135.35M","-0.67%"
"04/07/2025","77.84","66.65","81.80","66.12","169.08M","5.17%"
"04/04/2025","74.01","80.07","80.98","71.93","147.32M","-11.47%"
"04/03/2025","83.60","81.25","85.68","81.01","93.88M","-4.40%"
"04/02/2025","87.45","82.40","88.40","82.30","96.56M","3.27%"
"04/01/2025","84.68","83.89","85.28","81.82","78.98M","0.33%"
"03/31/2025","84.40","80.00","84.65","78.75","108.09M","-1.69%"
"03/28/2025","85.85","89.34","89.38","84.10","91.09M","-4.71%"
"03/27/2025","90.09","91.01","93.65","89.67","82.82M","-2.37%"
"03/26/2025","92.28","96.29","97.30","90.82","82.14M","-4.37%"
"03/25/2025","96.50","97.22","98.17","95.08","78.02M","-0.26%"
"03/24/2025","96.75","93.40","97.39","92.28","112.16M","6.37%"
"03/21/2025","90.96","85.85","91.07","84.46","116.75M","4.09%"
"03/20/2025","87.39","85.54","89.80","85.12","105.55M","1.50%"
"03/19/2025","86.10","84.55","87.99","82.86","89.80M","2.63%"
"03/18/2025","83.89","85.78","86.17","81.80","93.24M","-3.96%"
"03/17/2025","87.35","88.44","88.82","84.50","99.35M","1.29%"
"03/14/2025","86.24","82.97","87.27","82.16","113.99M","8.31%"
"03/13/2025","79.62","82.85","83.74","78.32","100.93M","-4.82%"
"03/12/2025","83.65","83.48","84.55","79.86","116.53M","7.17%"
"03/11/2025","78.05","75.79","80.75","75.53","109.35M","2.19%"
"03/10/2025","76.38","82.00","82.69","74.57","136.84M","-10.05%"
"03/07/2025","84.91","80.03","85.16","79.15","105.38M","5.53%"
"03/06/2025","80.46","87.50","88.34","80.01","117.34M","-10.73%"
"03/05/2025","90.13","86.35","90.30","82.50","116.05M","6.79%"
"03/04/2025","84.40","80.16","88.50","79.30","116.80M","1.17%"
"03/03/2025","83.42","88.55","90.48","82.53","114.57M","-1.77%"
"02/28/2025","84.92","79.98","85.18","78.58","125.98M","0.18%"
"02/27/2025","84.77","91.91","93.62","84.17","99.68M","-5.08%"
"02/26/2025","89.31","89.16","91.69","87.59","94.85M","1.67%"
"02/25/2025","87.84","90.65","91.70","85.25","132.63M","-3.13%"
"02/24/2025","90.68","95.88","99.01","89.30","184.48M","-10.53%"
"02/21/2025","101.35","107.68","109.07","100.00","129.06M","-4.63%"
"02/20/2025","106.27","102.91","107.40","95.80","243.09M","-5.17%"
"02/19/2025","112.06","123.86","125.41","108.56","147.49M","-10.08%"
"02/18/2025","124.62","120.94","125.00","118.43","84.23M","4.58%"
"02/14/2025","119.16","117.90","120.67","116.80","65.53M","1.06%"
"02/13/2025","117.91","117.31","118.39","115.15","60.03M","0.44%"
"02/12/2025","117.39","110.29","117.59","110.00","75.32M","4.24%"
"02/11/2025","112.62","116.50","118.66","112.10","94.31M","-3.45%"
"02/10/2025","116.65","112.03","116.76","108.72","99.94M","5.23%"
"02/07/2025","110.85","111.66","116.30","110.45","143.80M","-0.39%"
"02/06/2025","111.28","101.09","111.54","100.26","128.22M","9.79%"
"02/05/2025","101.36","101.78","103.57","99.32","90.79M","-2.38%"
"02/04/2025","103.83","102.80","106.91","100.51","230.81M","23.99%"
"02/03/2025","83.74","80.13","84.25","78.47","126.59M","1.52%"
"01/31/2025","82.49","81.00","85.22","80.87","79.00M","1.56%"
"01/30/2025","81.22","80.02","81.83","79.38","46.07M","1.83%"
"01/29/2025","79.76","79.95","80.82","77.81","49.26M","-0.59%"
"01/28/2025","80.23","75.54","80.74","74.04","65.92M","6.35%"
"01/27/2025","75.44","74.07","76.72","72.67","76.09M","-4.48%"
"01/24/2025","78.98","79.05","82.24","78.44","77.93M","0.00%"
"01/23/2025","78.98","76.04","79.00","75.84","55.94M","2.74%"
"01/22/2025","76.87","74.50","77.16","73.80","66.88M","5.20%"
"01/21/2025","73.07","73.24","73.64","70.60","56.23M","1.81%"
"01/17/2025","71.77","70.90","72.34","69.95","54.75M","3.65%"
"01/16/2025","69.24","69.08","71.43","68.36","62.91M","1.61%"
"01/15/2025","68.14","68.55","68.85","67.08","56.03M","3.38%"
"01/14/2025","65.91","67.18","68.23","65.19","56.81M","1.43%"
"01/13/2025","64.98","64.29","65.68","63.40","69.05M","-3.39%"
"01/10/2025","67.26","66.01","68.20","65.04","78.15M","-1.42%"
"01/08/2025","68.23","68.12","69.53","66.51","91.35M","-2.51%"
"01/07/2025","69.99","75.20","75.39","69.75","91.73M","-7.81%"
"01/06/2025","75.92","78.69","80.06","74.61","105.62M","-4.97%"
"01/03/2025","79.89","75.39","79.98","75.19","62.42M","6.25%"
"01/02/2025","75.19","76.20","76.53","72.42","72.22M","-0.58%"
"12/31/2024","75.63","77.58","77.98","73.65","56.27M","-2.01%"
"12/30/2024","77.18","77.04","79.24","76.11","60.85M","-2.40%"
"12/27/2024","79.08","81.42","82.00","77.93","66.98M","-3.73%"
"12/26/2024","82.14","83.16","83.49","81.30","60.55M","-0.29%"
"12/24/2024","82.38","81.09","84.80","81.00","64.98M","2.09%"
"12/23/2024","80.69","80.65","82.02","77.41","93.82M","0.17%"
"12/20/2024","80.55","72.64","80.66","71.50","281.23M","8.54%"
"12/19/2024","74.21","73.99","76.59","73.37","99.52M","3.78%"
"12/18/2024","71.51","74.30","77.60","70.27","109.64M","-3.87%"
"12/17/2024","74.39","73.28","75.32","71.70","75.47M","-1.80%"
"12/16/2024","75.75","75.06","77.82","71.16","126.10M","-0.42%"
"12/13/2024","76.07","73.49","76.10","72.45","76.17M","3.92%"
"12/12/2024","73.20","72.30","75.38","71.90","73.86M","0.95%"
"12/11/2024","72.51","72.98","73.00","68.07","89.48M","2.29%"
"12/10/2024","70.89","71.99","75.56","70.73","89.67M","-2.17%"
"12/09/2024","72.46","80.58","80.91","71.05","168.13M","-5.08%"
"12/06/2024","76.34","72.95","76.82","72.28","93.64M","6.22%"
"12/05/2024","71.87","70.11","72.98","69.89","66.59M","2.89%"
"12/04/2024","69.85","71.13","71.18","67.28","86.28M","-1.56%"
"12/03/2024","70.96","66.41","71.37","66.15","100.75M","6.88%"
"12/02/2024","66.39","67.44","67.88","65.96","46.41M","-1.03%"
"11/29/2024","67.08","65.89","67.16","65.47","30.10M","1.56%"
"11/27/2024","66.05","66.24","67.56","64.24","53.84M","0.47%"
"11/26/2024","65.74","64.57","65.85","63.89","46.92M","1.69%"
"11/25/2024","64.65","66.90","67.88","64.08","80.64M","0.47%"
"11/22/2024","64.35","61.60","64.44","61.37","61.38M","4.87%"
"11/21/2024","61.36","62.04","63.40","60.90","56.34M","-1.22%"
"11/20/2024","62.12","62.59","63.08","59.96","59.18M","-1.37%"
"11/19/2024","62.98","59.51","63.01","59.26","75.56M","2.81%"
"11/18/2024","61.26","64.92","64.92","58.85","137.88M","-6.86%"
"11/15/2024","65.77","61.01","66.00","60.91","155.28M","11.14%"
"11/14/2024","59.18","61.05","61.17","58.53","59.97M","-2.50%"
"11/13/2024","60.70","61.52","63.39","59.85","85.94M","1.42%"
"11/12/2024","59.85","59.01","60.09","58.57","59.06M","-0.65%"
"11/11/2024","60.24","60.13","62.08","58.69","108.36M","3.17%"
"11/08/2024","58.39","55.57","58.48","55.30","84.12M","4.49%"
"11/07/2024","55.88","55.82","56.47","53.55","121.59M","0.63%"
"11/06/2024","55.53","53.44","55.69","51.61","114.26M","8.61%"
"11/05/2024","51.13","47.86","51.58","46.86","208.87M","23.47%"
"11/04/2024","41.41","41.08","42.04","41.03","75.41M","-1.22%"
"11/01/2024","41.92","41.93","42.57","41.59","33.72M","0.87%"
"10/31/2024","41.56","42.79","43.32","40.90","50.97M","-4.88%"
"10/30/2024","43.69","44.58","44.80","43.61","31.31M","-2.76%"
"10/29/2024","44.93","44.90","45.07","44.04","26.15M","-0.09%"
"10/28/2024","44.97","45.05","45.14","44.68","36.73M","0.25%"
"10/25/2024","44.86","43.85","45.07","43.65","50.42M","2.98%"
"10/24/2024","43.56","42.89","43.73","42.66","34.08M","2.28%"
"10/23/2024","42.59","42.85","43.68","42.06","35.65M","-0.82%"
"10/22/2024","42.94","42.69","43.49","42.30","27.83M","0.56%"
"10/21/2024","42.70","42.86","43.40","42.41","30.72M","-0.63%"
"10/18/2024","42.97","42.01","42.99","41.65","33.97M","2.31%"
"10/17/2024","42.00","42.15","42.70","41.61","34.03M","0.17%"
"10/16/2024","41.93","42.40","42.49","40.36","59.16M","-1.18%"
"10/15/2024","42.43","43.47","43.68","41.51","48.30M","-2.24%"
"10/14/2024","43.40","43.72","44.39","43.28","41.01M","-0.25%"
"10/11/2024","43.51","43.40","44.38","42.62","66.21M","-0.02%"
"10/10/2024","43.52","42.92","43.88","42.41","62.52M","0.90%"
"10/09/2024","43.13","41.55","43.34","41.21","86.40M","4.05%"
"10/08/2024","41.45","39.29","41.49","39.01","62.54M","6.58%"
"10/07/2024","38.89","39.90","40.15","38.78","44.12M","-2.80%"
"10/04/2024","40.01","39.65","40.29","39.40","62.66M","1.96%"
"10/03/2024","39.24","37.45","39.29","37.37","57.20M","4.67%"
"10/02/2024","37.49","36.30","37.68","36.15","34.99M","2.83%"
"10/01/2024","36.46","37.21","37.56","36.05","52.86M","-1.99%"
"09/30/2024","37.20","36.58","37.32","36.15","42.22M","0.98%"
"09/27/2024","36.84","36.91","37.47","36.59","43.22M","-0.70%"
"09/26/2024","37.10","37.26","37.44","36.60","48.60M","-0.05%"
"09/25/2024","37.12","36.89","37.18","36.38","46.51M","0.60%"
"09/24/2024","36.90","37.97","37.98","36.43","79.52M","-2.77%"
"09/23/2024","37.95","36.86","38.19","36.57","79.46M","2.02%"
"09/20/2024","37.20","36.01","37.29","35.71","450.29M","1.00%"
"09/19/2024","36.83","37.00","37.35","36.20","59.88M","1.24%"
"09/18/2024","36.38","35.90","37.11","35.87","66.28M","-0.19%"
"09/17/2024","36.45","37.00","37.05","35.87","64.46M","0.39%"
"09/16/2024","36.31","35.78","36.92","35.56","74.77M","2.02%"
"09/13/2024","35.59","34.97","36.01","34.89","49.73M","1.95%"
"09/12/2024","34.91","34.86","35.40","34.53","54.39M","0.17%"
"09/11/2024","34.85","34.01","34.87","33.62","68.30M","0.26%"
"09/10/2024","34.76","34.81","35.20","33.71","91.72M","0.46%"
"09/09/2024","34.60","32.70","34.70","32.47","140.58M","14.08%"
"09/06/2024","30.33","30.60","31.04","29.50","50.95M","0.56%"
"09/05/2024","30.16","30.24","30.74","30.01","24.01M","-1.41%"
"09/04/2024","30.59","30.00","30.85","29.31","33.42M","0.26%"
"09/03/2024","30.51","31.35","31.59","30.17","34.53M","-3.08%"
"08/30/2024","31.48","31.05","31.50","30.70","42.39M","1.55%"
"08/29/2024","31.00","30.65","31.82","30.48","39.73M","2.11%"
"08/28/2024","30.36","30.62","30.80","29.75","33.96M","-1.56%"
"08/27/2024","30.84","30.55","31.12","30.38","23.54M","-0.03%"
"08/26/2024","30.85","31.43","31.74","30.79","35.28M","-2.93%"
"08/23/2024","31.78","31.99","32.55","31.62","34.12M","-0.44%"
"08/22/2024","31.92","32.55","33.13","31.85","43.52M","-1.91%"
"08/21/2024","32.54","32.32","32.67","31.97","38.15M","0.68%"
"08/20/2024","32.32","32.50","32.72","31.63","40.78M","-0.55%"
"08/19/2024","32.50","32.42","32.59","31.81","52.35M","1.31%"
"08/16/2024","32.08","31.04","32.75","30.98","64.87M","2.75%"
"08/15/2024","31.22","31.31","31.50","30.83","43.41M","0.71%"
"08/14/2024","31.00","30.62","31.37","30.33","49.89M","2.01%"
"08/13/2024","30.39","29.79","30.85","29.56","57.29M","3.44%"
"08/12/2024","29.38","30.22","31.20","29.27","67.89M","-2.10%"
"08/09/2024","30.01","29.28","30.36","29.10","88.13M","2.49%"
"08/08/2024","29.28","27.04","29.38","26.69","96.89M","11.25%"
"08/07/2024","26.32","27.07","28.36","26.24","75.98M","-1.02%"
"08/06/2024","26.59","27.05","27.42","25.57","99.62M","10.38%"
"08/05/2024","24.09","21.74","24.42","21.23","88.02M","-2.63%"
"08/02/2024","24.74","24.75","24.87","23.75","56.09M","-5.14%"
"08/01/2024","26.08","27.02","27.53","25.83","31.19M","-3.01%"
"07/31/2024","26.89","27.02","27.39","26.88","29.11M","1.97%"
"07/30/2024","26.37","27.25","27.44","25.89","31.82M","-2.62%"
"07/29/2024","27.08","27.56","27.80","26.73","26.04M","-0.37%"
"07/26/2024","27.18","27.00","27.34","26.77","27.43M","2.07%"
"07/25/2024","26.63","26.04","27.29","25.42","45.47M","0.11%"
"07/24/2024","26.60","28.44","28.68","26.58","49.00M","-7.67%"
"07/23/2024","28.81","28.34","29.19","28.31","31.13M","1.23%"
"07/22/2024","28.46","28.93","28.97","27.69","38.04M","-0.42%"
"07/19/2024","28.58","28.31","29.60","28.27","49.58M","-0.21%"
"07/18/2024","28.64","28.42","29.83","28.15","76.49M","1.49%"
"07/17/2024","28.22","28.00","28.87","27.60","45.20M","-1.57%"
"07/16/2024","28.67","28.18","28.84","27.47","59.33M","0.00%"
"07/15/2024","28.67","28.42","29.30","27.90","49.19M","2.14%"
"07/12/2024","28.07","27.32","28.13","27.28","30.76M","1.56%"
"07/11/2024","27.64","28.49","28.59","26.90","61.55M","-2.74%"
"07/10/2024","28.42","27.50","28.47","27.37","43.23M","3.76%"
"07/09/2024","27.39","27.93","28.38","27.23","53.23M","-1.12%"
"07/08/2024","27.70","27.93","27.99","26.84","59.61M","1.73%"
"07/05/2024","27.23","26.00","27.25","25.98","46.70M","5.34%"
"07/03/2024","25.85","25.96","26.27","25.76","18.43M","0.08%"
"07/02/2024","25.83","25.84","26.43","25.75","32.15M","-0.19%"
"07/01/2024","25.88","25.48","26.02","25.14","33.17M","2.17%"
"06/28/2024","25.33","25.28","25.57","25.03","38.89M","0.44%"
"06/27/2024","25.22","24.10","25.40","24.05","37.88M","4.65%"
"06/26/2024","24.10","24.47","24.66","24.02","24.33M","-1.87%"
"06/25/2024","24.56","24.16","24.63","23.92","29.66M","1.66%"
"06/24/2024","24.16","23.44","24.39","23.30","36.48M","1.34%"
"06/21/2024","23.84","24.71","26.09","23.53","69.98M","-6.73%"
"06/20/2024","25.56","26.44","26.57","25.16","66.74M","-1.01%"
"06/18/2024","25.82","25.15","26.02","24.83","54.46M","3.20%"
"06/17/2024","25.02","23.47","25.06","23.45","54.10M","6.15%"
"06/14/2024","23.57","23.15","23.72","22.84","26.62M","1.29%"
"06/13/2024","23.27","23.85","24.14","23.15","26.04M","-2.10%"
"06/12/2024","23.77","24.20","24.33","23.57","38.54M","-0.34%"
"06/11/2024","23.85","23.06","23.95","22.89","30.60M","3.11%"
"06/10/2024","23.13","22.75","23.16","22.66","31.51M","-0.77%"
"06/07/2024","23.31","23.24","23.57","23.06","37.15M","-2.02%"
"06/06/2024","23.79","22.98","23.95","22.98","60.40M","3.61%"
"06/05/2024","22.96","22.48","22.98","22.22","39.83M","3.89%"
"06/04/2024","22.10","21.05","22.26","21.04","41.97M","3.66%"
