"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2025","54.87","53.04","55.17","52.83","84.90M","1.95%"
"04/28/2025","53.82","54.02","54.64","51.64","95.68M","-0.07%"
"04/25/2025","53.86","52.04","54.07","51.48","113.05M","3.30%"
"04/24/2025","52.14","48.74","52.28","48.54","120.31M","8.51%"
"04/23/2025","48.05","49.24","50.83","47.63","152.00M","6.64%"
"04/22/2025","45.06","43.46","45.98","43.10","130.11M","7.64%"
"04/21/2025","41.86","43.37","43.64","40.24","114.77M","-7.31%"
"04/17/2025","45.16","46.09","46.29","44.35","101.10M","-0.29%"
"04/16/2025","45.29","46.83","48.01","43.16","134.57M","-9.04%"
"04/15/2025","49.79","49.96","51.21","49.19","104.67M","0.38%"
"04/14/2025","49.60","51.90","52.05","48.07","147.43M","2.10%"
"04/11/2025","48.58","45.67","49.07","44.62","179.29M","5.29%"
"04/10/2025","46.14","48.68","49.34","41.57","281.69M","-12.30%"
"04/09/2025","52.61","38.76","53.41","38.73","356.93M","35.24%"
"04/08/2025","38.90","45.39","46.81","37.10","251.15M","-5.70%"
"04/07/2025","41.25","36.75","46.83","35.00","395.73M","0.39%"
"04/04/2025","41.09","45.99","46.78","41.03","258.03M","-18.31%"
"04/03/2025","50.30","52.43","53.83","50.11","140.12M","-16.07%"
"04/02/2025","59.93","56.19","61.20","56.09","123.09M","2.23%"
"04/01/2025","58.62","56.68","58.99","55.62","97.10M","2.30%"
"03/31/2025","57.30","54.72","57.63","53.04","106.85M","-0.07%"
"03/28/2025","57.34","61.54","61.81","56.97","103.63M","-7.96%"
"03/27/2025","62.30","62.60","64.23","61.75","72.37M","-1.70%"
"03/26/2025","63.38","66.64","66.99","62.76","79.57M","-5.84%"
"03/25/2025","67.31","66.48","67.37","66.09","55.57M","1.78%"
"03/24/2025","66.13","65.06","66.53","64.82","63.41M","6.35%"
"03/21/2025","62.18","59.53","62.42","59.07","80.49M","0.94%"
"03/20/2025","61.60","60.66","63.63","60.37","88.41M","-1.03%"
"03/19/2025","62.24","60.68","63.91","59.94","92.59M","3.89%"
"03/18/2025","59.91","61.77","61.78","59.01","87.83M","-5.04%"
"03/17/2025","63.09","61.88","64.28","61.15","90.15M","1.94%"
"03/14/2025","61.89","59.71","62.23","59.50","99.11M","7.09%"
"03/13/2025","57.79","60.80","60.85","57.04","121.23M","-5.46%"
"03/12/2025","61.13","61.94","62.66","59.16","141.92M","3.42%"
"03/11/2025","59.11","59.40","61.85","57.37","139.49M","-1.17%"
"03/10/2025","59.81","64.00","64.19","57.88","156.14M","-11.27%"
"03/07/2025","67.41","65.56","68.01","62.89","135.18M","2.07%"
"03/06/2025","66.04","68.39","70.50","65.17","122.82M","-8.29%"
"03/05/2025","72.01","69.55","72.68","67.49","100.63M","3.90%"
"03/04/2025","69.31","68.76","72.77","66.01","130.84M","-1.10%"
"03/03/2025","70.08","76.37","77.05","68.43","91.95M","-6.46%"
"02/28/2025","74.92","71.46","75.17","70.07","93.18M","4.58%"
"02/27/2025","71.64","79.72","80.17","71.48","103.38M","-8.29%"
"02/26/2025","78.12","78.58","80.45","76.69","63.18M","0.64%"
"02/25/2025","77.62","80.33","80.38","75.78","75.60M","-3.82%"
"02/24/2025","80.70","84.50","85.05","80.50","53.23M","-3.60%"
"02/21/2025","83.71","89.77","89.79","83.47","59.31M","-6.26%"
"02/20/2025","89.30","90.05","90.23","86.89","40.13M","-1.22%"
"02/19/2025","90.40","90.00","91.12","88.92","34.26M","0.01%"
"02/18/2025","90.39","90.63","90.75","88.75","34.41M","0.62%"
"02/14/2025","89.83","88.81","90.18","88.60","38.03M","1.17%"
"02/13/2025","88.79","85.98","88.96","85.58","46.46M","4.21%"
"02/12/2025","85.20","82.28","85.61","82.10","48.49M","0.20%"
"02/11/2025","85.03","84.07","85.99","84.01","31.30M","-0.71%"
"02/10/2025","85.64","84.73","86.20","84.50","32.80M","3.52%"
"02/07/2025","82.73","86.26","87.19","82.35","55.44M","-3.81%"
"02/06/2025","86.01","84.96","86.13","84.19","38.22M","1.50%"
"02/05/2025","84.74","82.35","84.82","81.76","39.85M","1.30%"
"02/04/2025","83.65","80.91","83.94","80.73","42.32M","3.63%"
"02/03/2025","80.72","78.53","81.99","77.34","76.63M","-2.42%"
"01/31/2025","82.72","84.92","87.09","82.18","59.33M","-0.54%"
"01/30/2025","83.17","83.47","84.58","80.86","57.59M","1.25%"
"01/29/2025","82.14","82.91","82.98","80.26","59.24M","-0.62%"
"01/28/2025","82.65","79.58","83.17","78.00","50.52M","4.44%"
"01/27/2025","79.14","77.58","81.03","77.18","80.91M","-8.77%"
"01/24/2025","86.75","88.43","88.83","86.01","36.24M","-1.80%"
"01/23/2025","88.34","86.54","88.38","86.27","30.24M","0.62%"
"01/22/2025","87.80","86.84","88.91","86.71","43.13M","3.88%"
"01/21/2025","84.52","84.45","85.15","82.33","41.73M","1.66%"
"01/17/2025","83.14","83.69","83.94","81.84","43.68M","4.93%"
"01/16/2025","79.23","82.01","82.05","79.20","46.53M","-2.04%"
"01/15/2025","80.88","79.31","81.47","78.60","53.46M","6.76%"
"01/14/2025","75.76","77.48","78.06","74.19","62.64M","-0.36%"
"01/13/2025","76.03","74.05","76.20","73.34","56.69M","-1.04%"
"01/10/2025","76.83","78.80","78.82","75.23","72.83M","-4.77%"
"01/08/2025","80.68","80.56","81.41","78.44","48.01M","0.07%"
"01/07/2025","80.62","85.72","85.89","79.71","55.51M","-5.39%"
"01/06/2025","85.21","84.97","86.85","84.03","46.03M","3.41%"
"01/03/2025","82.40","79.99","82.91","79.62","46.22M","4.79%"
"01/02/2025","78.63","80.54","81.61","76.53","70.69M","-0.63%"
"12/31/2024","79.13","81.80","82.16","78.68","52.59M","-2.62%"
"12/30/2024","81.26","81.20","83.06","79.41","51.42M","-4.02%"
"12/27/2024","84.66","86.37","86.58","82.28","51.07M","-4.07%"
"12/26/2024","88.25","87.62","89.08","86.59","29.80M","-0.21%"
"12/24/2024","88.44","85.95","88.48","85.64","24.07M","3.97%"
"12/23/2024","85.06","83.45","85.24","81.83","41.82M","2.44%"
"12/20/2024","83.03","79.06","85.86","78.50","72.62M","2.59%"
"12/19/2024","80.93","84.27","84.53","80.75","56.66M","-1.41%"
"12/18/2024","82.09","91.65","92.57","81.29","67.42M","-10.81%"
"12/17/2024","92.04","92.33","92.91","91.17","34.58M","-1.34%"
"12/16/2024","93.29","90.72","93.79","90.67","34.98M","4.35%"
"12/13/2024","89.40","89.42","90.77","87.85","39.83M","2.15%"
"12/12/2024","87.52","88.13","88.77","87.28","33.17M","-1.98%"
"12/11/2024","89.29","86.88","89.62","86.68","37.45M","5.34%"
"12/10/2024","84.76","86.25","87.12","84.05","35.77M","-1.09%"
"12/09/2024","85.69","87.25","87.66","85.08","34.79M","-2.34%"
"12/06/2024","87.74","85.78","87.86","85.72","31.37M","2.57%"
"12/05/2024","85.54","86.25","86.64","85.34","27.01M","-0.82%"
"12/04/2024","86.25","84.87","86.37","84.51","35.00M","3.65%"
"12/03/2024","83.21","81.80","83.33","81.53","42.41M","0.89%"
"12/02/2024","82.48","80.48","82.95","80.29","36.82M","3.24%"
"11/29/2024","79.89","78.13","80.17","77.85","20.43M","2.55%"
"11/27/2024","77.90","79.29","79.31","76.33","39.23M","-2.42%"
"11/26/2024","79.83","79.29","80.25","78.89","34.87M","1.55%"
"11/25/2024","78.61","80.16","80.87","77.54","45.76M","0.46%"
"11/22/2024","78.25","77.64","78.61","76.88","39.97M","0.37%"
"11/21/2024","77.96","78.55","78.88","74.56","54.93M","0.98%"
"11/20/2024","77.20","77.15","77.29","74.11","50.63M","-0.12%"
"11/19/2024","77.29","74.55","77.55","74.42","40.04M","2.01%"
"11/18/2024","75.77","74.93","76.74","74.31","38.98M","2.02%"
"11/15/2024","74.27","77.27","77.45","73.29","60.30M","-7.23%"
"11/14/2024","80.06","81.59","82.03","79.62","38.83M","-2.12%"
"11/13/2024","81.79","81.86","83.09","80.68","37.49M","-0.44%"
"11/12/2024","82.15","82.54","82.97","80.65","34.14M","-0.54%"
"11/11/2024","82.60","83.33","83.43","81.18","35.40M","-0.18%"
"11/08/2024","82.75","82.22","83.11","81.91","35.03M","0.24%"
"11/07/2024","82.55","80.16","82.93","80.10","49.77M","4.68%"
"11/06/2024","78.86","76.66","79.22","76.19","59.40M","8.12%"
"11/05/2024","72.94","70.95","73.24","70.92","39.68M","3.80%"
"11/04/2024","70.27","70.64","71.75","69.51","41.11M","-0.93%"
"11/01/2024","70.93","70.08","72.36","69.97","48.34M","2.13%"
"10/31/2024","69.45","73.31","73.33","69.43","69.45M","-7.61%"
"10/30/2024","75.17","76.55","76.98","74.94","40.24M","-2.22%"
"10/29/2024","76.88","74.93","77.46","74.07","39.27M","2.77%"
"10/28/2024","74.81","76.19","76.19","74.66","34.58M","0.09%"
"10/25/2024","74.74","74.70","77.00","74.39","57.41M","1.69%"
"10/24/2024","73.50","73.42","73.80","72.24","39.31M","2.38%"
"10/23/2024","71.79","74.17","74.47","70.28","59.09M","-4.62%"
"10/22/2024","75.27","73.81","75.95","73.46","38.15M","0.29%"
"10/21/2024","75.05","74.06","75.42","73.18","37.50M","0.55%"
"10/18/2024","74.64","74.46","75.15","74.13","32.08M","1.77%"
"10/17/2024","73.34","75.58","75.60","73.25","48.85M","0.30%"
"10/16/2024","73.12","73.24","73.49","71.67","35.39M","-0.05%"
"10/15/2024","73.16","76.35","76.65","72.14","53.15M","-3.99%"
"10/14/2024","76.20","75.44","76.82","75.21","33.85M","2.56%"
